Course number,Preferences 
GZFWOW$inside
GZFWOW$outside
GZLTBR$inside
GZLTBR$outside
GZQJRC$inside
GZQJRC$outside
GZBEDR$inside
GZBEDR$outside
GZEBQY$inside
GZEBQY$outside,XM17XFZR,FO15FPIF,FO15CEXB,DS16HORZ,FO15VJID,VL15YHXT,FO15GCIV
GZSFJX$inside
GZSFJX$outside,FO15VJID,FO15LWKX,FO15WBOC,UF15ABJL,UF15EXMF,UF15RGTE,UF15EXZR,FO15XOPN,UF15CDXM,DS15XDQG,UF15SBWC,KJ15GJSE,KJ15EWBK,OZ15YGIZ,UF15RTAJ,UF15HIRN
GZUNOC$inside
GZUNOC$outside,FO16ZMZC,FO16SIMN,UF15XQXW
GZKBQC$inside
GZKBQC$outside,UF15EXZR,UF16HXDU,UF15HINI,UF15USLW
GZXPIF$inside
GZXPIF$outside,FO15BEEF,UF15TSFK
GZZSOA$inside
GZZSOA$outside,FO16FAFI,FO16IBDB,FO16AWNM,BJ15YNOK,SC15HEZX,UF15HIRN,VL15YHXT,KJ15DKOB
GZPBPV$inside
GZPBPV$outside,FO16VYVO,FO16HXGF,FO16UWHY,FO16NMGJ,FO16OCXT,FO16KYGR,FO16PIRE,FO16XDJV,FO16NLJA,FO16RLFJ,FO16ZMZC,FO16IAZE,SF15ECYN
GZMFCA$inside
GZMFCA$outside,BJ15CXKG,UF15OSSW,KJ15EWBK,UF15HINI,VL15YHXT,FO15WBOC,UF15HOPF,UF15EXMF,UF15RGTE,UF15QTBK,UF15RTAJ
GZLKZQ$inside
GZLKZQ$outside,SF16YPAF,KJ15EWBK
GZWFWK$inside
GZWFWK$outside,FO16IJCQ,FO16DJXN,FO16GHOK,FO16VFNB,FO16IAZE,FO16FAFI,UF15TSFK
GZSXZC$inside
GZSXZC$outside,LF16RRXU,LF16DIXP,UF16WYVQ,KJ16GRIC,FO15FCHA,SC15QHTI,FO15KHIS,SC15DZVU,FO15AEOB,FO15NZVD,LF15LFOA,SC15DBEA,SC15BVUW,SC15IGQJ,FO15JQSN,SC15IRQS,FO15WBCZ
GZZCOH$inside
GZZCOH$outside,UF16HXDU,FO16GHOK,UF16VRMG,UF16AEXM,FO16GRGI,UF16FEAL
GZUYOL$inside
GZUYOL$outside,FO15VLIV
GZVZNT$inside
GZVZNT$outside,SC15CHMG,FO16QTDP
GZAEHU$inside
GZAEHU$outside,SC15VFWN
GZDPDH$inside
GZDPDH$outside,BJ15FZNI,FO15INOW,FO15FCHA,DS15RWNB,DS15AMCX,DS15IZZH,SC15CHMG,FO15OUKA,SC16DTJT,SC16OHLJ,LT15KUGN,FO15JQSN,FO15FBAF,SC15NZMY,SC15IRQS,FO15KHIS,SC15VFWN
GZBZIF$inside
GZBZIF$outside,DS15RWNB,DS15IZZH,DS15AMCX,SC15CHMG,KJ15YMKL,SC15FWAG
GZNRAM$inside
GZNRAM$outside,SC15CHMG,KJ15NOFI,KJ15EWGA,KJ15YFBZ,FO15VIJL,UF15TSFK
GZVTZP$inside
GZVTZP$outside
GZLHOP$inside
GZLHOP$outside,SC15CHMG
GZHQDV$inside
GZHQDV$outside,UF16FKRU,VL15YHXT,KJ15TGKJ,UF16AEXM,BJ15CXKG,UF16BYVF,UF16KNJO,UF15EXZR,FO16AWNM,UF16HXDU,UF15ABJL,FO16WFEV,UF16TELD,VL15IMPC,XM16UABZ,XM16YQBI,UF15RGTE,XM16BBLL,FO15AEOB,FO16FAFI,UF15EXMF,FO15EKKB
NMIRWN$inside
NMIRWN$outside
NMIFPX$inside
NMIFPX$outside,LF15PXGV
NMMYGU$inside
NMMYGU$outside,LF15PXGV
NMVLTR$inside
NMVLTR$outside
NMQHIH$inside
NMQHIH$outside
NMYLLH$inside
NMYLLH$outside,FO15SMAK,FO16THMP,FO15GBIV,FO15WBCZ,FO16NMGJ
NMRJCZ$inside
NMRJCZ$outside
NMUGJK$inside
NMUGJK$outside
NMSRND$inside
NMSRND$outside
NMSVWI$inside
NMSVWI$outside,FO15CIMJ
NMJFNU$inside
NMJFNU$outside
NMSATV$inside
NMSATV$outside,FO16PIRE,FO16SIMN,FO16LJNP,FO16BUHU,FO16IBDB
NMPQAJ$inside,KJ15HVRB,KJ15AXCE,KJ15JGKH,KJ15ZFES,KJ15EWGA,KJ15EHER,KJ15STAY,KJ15EWBK,KJ15KTLM
NMPQAJ$outside,KJ15HVRB,KJ15AXCE,KJ15JGKH,KJ15ZFES,KJ15EWGA,KJ15EHER,KJ15STAY,KJ15EWBK,KJ15KTLM
NMBUCE$inside,KJ15EWGA,KJ15TWSB
NMBUCE$outside,KJ15EWGA,KJ15TWSB
NMZRWR$inside,KJ15ZXPJ,KJ15XOTM,KJ15EWGA
NMZRWR$outside,UF15XQXW,KJ15ZXPJ,KJ15XOTM,KJ15EWGA
NMWUNK$inside,KJ15HVRB,KJ16BZRZ,KJ16KTMR,KJ16HCTZ,KJ16UYMS
NMWUNK$outside,KJ15HVRB,KJ16BZRZ,KJ16KTMR,KJ16HCTZ,KJ16UYMS
NMLQKI$inside,KJ16ZKAC,KJ16UNVQ,KJ16THSJ,KJ16LZFK,KJ16BZRZ,KJ16PNAS,KJ15NYAL,KJ16RMMV,KJ15JGKH,KJ16OKNM,KJ16DQOH,KJ16EXRI,KJ16VGRL,KJ15XOTM,KJ15TGRN,KJ16ENIA,KJ16IODE,KJ15VQWG,KJ16GEWP,KJ16CDXG,KJ15LMVB,KJ16OEMM,KJ16XQTP
NMLQKI$outside,FO15CMPD,FO16CZRZ,FO15KHIS,FO16PIRE,FO16KLLP,FO16MCLM,SC15FWAG,FO16IAZE,FO15JJYG,FO15JQSN,FO15TTYH,FO15GBIV,FO15JQSH,FO15PJUO,KJ16ZKAC,KJ16UNVQ,KJ16THSJ,KJ16LZFK,KJ16BZRZ,KJ16PNAS,KJ15NYAL,KJ16RMMV,KJ15JGKH,KJ16OKNM,KJ16DQOH,KJ16EXRI,KJ16VGRL,KJ15XOTM,KJ15TGRN,KJ16ENIA,KJ16IODE,KJ15VQWG,KJ16GEWP,KJ16CDXG,KJ15LMVB,KJ16OEMM,KJ16XQTP
NMIDYM$inside,KJ16ZKAC,KJ15YFBZ,KJ16BZRZ,KJ16RJAW,KJ15KTPD,KJ15XOTM,KJ15YYLT,KJ17WXVA
NMIDYM$outside,FO16PIRE,KJ16ZKAC,KJ15YFBZ,KJ16BZRZ,KJ16RJAW,KJ15KTPD,KJ15XOTM,KJ15YYLT,KJ17WXVA
NMCFUH$inside,KJ15YFBZ,KJ15OFKV,KJ15MJFL,KJ15KTPD,KJ15HPGD
NMCFUH$outside,FO15IVLF,FO15UXIW,FO15CIMJ,FO15KKJW,FO15TTYH,FO15JQSH,KJ15YFBZ,KJ15OFKV,KJ15MJFL,KJ15KTPD,KJ15HPGD
NMGQWM$inside,KJ16UNVQ,KJ15AXCE,KJ15XWXH,KJ15ZXPJ,KJ16ZOAP,KJ16WLSY,KJ16KVJV,KJ15TWSB,KJ16QICV
NMGQWM$outside,KJ16UNVQ,KJ15AXCE,KJ15XWXH,KJ15ZXPJ,KJ16ZOAP,KJ16WLSY,KJ16KVJV,KJ15TWSB,KJ16QICV
NMUQEU$inside,KJ16OEWJ,KJ15DHYY,KJ15XWXH,KJ15ZXPJ,KJ16ZOAP,KJ16WRWL,KJ16WLSY,KJ15KTPD,KJ15JGKH,KJ16WYFB,KJ16KTMR,KJ16KVJV,KJ15YYLT,KJ16ELAD,KJ16BLSO,KJ16ASJR,KJ15TWSB,KJ16YIYE,KJ15HYZX,KJ15DKOB
NMUQEU$outside,FO15FPIF,FO15UXIW,FO15NZVD,FO15CYIA,UF15UIXU,FO15CEXB,FO15GCIV,UF16WYVQ,UF16XEQM,UF15EJIG,UF16WRGW,UF16FTNM,KJ16OEWJ,KJ15DHYY,KJ15XWXH,KJ15ZXPJ,KJ16ZOAP,KJ16WRWL,KJ16WLSY,KJ15KTPD,KJ15JGKH,KJ16WYFB,KJ16KTMR,KJ16KVJV,KJ15YYLT,KJ16ELAD,KJ16BLSO,KJ16ASJR,KJ15TWSB,KJ16YIYE,KJ15HYZX,KJ15DKOB
NMSEGH$inside,KJ16PNAS,KJ16JRMA,KJ17WXVA,KJ15EWGA,KJ16IODE,KJ16CDXG,KJ15GJSE,KJ15TGKJ,KJ15DTZZ,KJ16XRLH,KJ15AICJ,KJ15WQET
