COURSE,BATCHES,,,,,,,,,,
DNMIGT,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNDIKQ,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNNSOC,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNJEXJ,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNMHEO,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNITCO,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNMUOQ,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNPUEO,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNSVRR,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNWTSM,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNYMGM,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNGKDP,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNTXOD,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNNRZI,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNKXCW,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNRPKM,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNHKAQ,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNIMNG,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNUBYC,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNIFQF,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNVUSE,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNXTXO,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNOENI,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNJNPL,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNKCVN,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DNPELC,KJ15,DS15,LF15,XM15,SF15,FO15,OZ15,VL15,BJ15,UF15,LT16,OZ16,KJ17,DS17,XM17,SF17,LT17,SC17,OZ17,VL17,BJ17,EI17
DDYQNY,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDWJGG,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDBVFC,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDVQGR,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDHMRB,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDKVSX,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDZAVC,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDPNZK,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDUPUE,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDPTBQ,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDHNJG,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDEFUC,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDUPML,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDTUNP,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDSKTM,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDAWSL,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDKKPI,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDONNA,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDCVOF,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDWWDC,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDVAPV,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDXIXA,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDNATV,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDUUCC,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDETJV,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDWPAX,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDAWQZ,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDRPNG,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
DDJPLV,KJ16,LF17,DS17,SC17,OZ17,VL17,EI17,
TJPIKQ,KJ16,DS16,LF16,XM16,SF16,FO16,LT16,SC16,OZ16,VL16,BJ16,UF16,EI16,
SFIPIU,OZ15,OZ16,OZ17,
