CourseNo,DepartmentCode,MaxOverall2rength,MinOtherBranch2rength,AllocationType,Credit,Slot,Additional Slot,
GZFWOW,GZ,0,0,3,10,SX,
GZLTBR,GZ,0,0,3,10,JD,
GZQJRC,GZ,0,0,3,10,UN,
GZBEDR,GZ,0,0,3,3,KV,
GZEBQY,GZ,20,20,2,9,BV,
GZSFJX,GZ,20,20,3,9,LN,
GZUNOC,GZ,20,20,2,9,ZN,
GZKBQC,GZ,20,20,2,9,GY,
GZXPIF,GZ,20,20,2,9,GY,
GZZSOA,GZ,20,20,3,9,YG,
GZPBPV,GZ,20,20,2,9,JD,
GZMFCA,GZ,20,20,2,9,EZ,
GZLKZQ,GZ,20,20,2,9,LN,
GZWFWK,GZ,20,20,2,9,SX,
GZSXZC,GZ,20,20,2,9,BV,
GZZCOH,GZ,20,20,2,9,JD,
GZUYOL,GZ,15,15,2,9,UN,
GZVZNT,GZ,20,20,2,9,LN,
GZAEHU,GZ,25,25,2,9,EZ,
GZDPDH,GZ,25,25,2,9,GY,
GZBZIF,GZ,20,20,2,9,GY,
GZNRAM,GZ,20,20,2,9,GI,
GZVTZP,GZ,25,25,2,5,EU,
GZLHOP,GZ,25,25,2,5,EU,
GZHQDV,GZ,20,20,2,9,OC,
NMIRWN,KJ,4,4,3,11,UN,WV,
NMIFPX,KJ,4,4,3,11,JD,HY,
NMMYGU,KJ,4,4,3,11,UN,WV,
NMVLTR,KJ,4,4,3,11,JD,HY,
NMQHIH,KJ,4,4,3,12,UN,ZN,
NMYLLH,KJ,4,4,3,12,JD,LN,
NMRJCZ,KJ,0,0,3,5,CX,
NMUGJK,KJ,0,0,3,5,JX,EU,
NMSRND,KJ,0,0,3,3,JH,
NMSVWI,KJ,4,4,3,11,UN,ZN,
NMJFNU,KJ,4,4,3,11,JD,LN,
NMSATV,KJ,8,8,3,10,SX,
NMPQAJ,KJ,60,0,3,9,RF,
NMBUCE,KJ,60,0,3,12,ZN,EU,CX,
NMZRWR,KJ,80,8,3,9,SX,
NMWUNK,KJ,80,0,3,9,GY,
NMLQKI,KJ,80,8,3,9,GI,
NMIDYM,KJ,80,8,3,9,YG,
NMCFUH,KJ,80,8,3,9,EZ,
NMGQWM,KJ,80,8,3,9,YG,
NMUQEU,KJ,80,8,3,9,BV,
NMSEGH,KJ,80,8,3,9,YG,
NMKJIA,KJ,80,8,3,9,GY,
NMCTCD,KJ,80,8,3,9,BV,
NMHBWI,KJ,80,8,3,9,SX,
NMXRJS,KJ,80,8,3,9,BV,
NMYQYH,KJ,80,8,3,9,SX,
PGHCKK,PG,0,0,2,9,EZ,
PGMRBA,GZ,0,0,3,9,YG,
PGMRBA,PG,0,0,2,9,YG,
PGHFIE,PG,40,10,2,12,UN,
PGDWUN,PG,10,10,2,9,ZN,
PGCYVE,PG,50,20,2,10,YG,
PGJSNK,PG,10,10,2,12,JD,
PGKWAA,PG,40,10,2,10,EZ,
PGBJID,PG,0,0,2,8,KV,JX,
PGKQIO,PG,0,0,2,8,KV,JX,
PGBIPM,PG,0,0,2,8,EU,CX,
PGOOGV,PG,10,10,2,10,YG,
PGOMLJ,PG,60,30,3,9,JD,
PGLSBR,PG,80,20,3,11,SX,JH,
PGRAQF,PG,50,20,2,9,GY,
