Course,Department&Year (REMEMBER : INCLUDE 'EP' IN 'PH' AND 'EE' COURSES. INCLUDE 'NA' IN 'OE' COURSES. INCLUDE 'BE','BS' IN 'BT' COURSES,,)
EIFMZA,OZ15,OZ16,OZ17,
EIQMAM,OZ15,OZ16,OZ17,
EITHBV,OZ15,OZ16,OZ17,
EITUNL,OZ15,OZ16,OZ17,
EIZDZH,OZ15,OZ16,OZ17,
EIFJIB,OZ15,OZ16,OZ17,
EIJCRU,OZ15,OZ16,OZ17,
EIKOVQ,OZ15,OZ16,OZ17,
EIDJCJ,OZ15,OZ16,OZ17,
EIXVMK,OZ15,OZ16,OZ17,
EIUVHF,OZ15,OZ16,OZ17,
EIKSDA,OZ15,OZ16,OZ17,
