RollNo,CourseNo,ColorGroup,Type,SortOrder
KJ15DKOB,GZZSOA,0,ELEC,9
KJ15DKOB,NMIFPX,NULL,BACKLOG,NULL
KJ15DKOB,NMMYGU,NULL,BACKLOG,NULL
KJ15DKOB,NMUQEU,0,ELEC,3
KJ15DKOB,NMHBWI,0,ELEC,2
KJ15DKOB,PGDWUN,0,ELEC,8
KJ15DKOB,QQIBYU,0,ELEC,4
KJ15DKOB,QQDNHA,0,ELEC,6
KJ15DKOB,DNDIKQ,0,ELEC,5
KJ15DKOB,DNRPKM,0,ELEC,7
KJ15DKOB,DDWJGG,NULL,BACKLOG,NULL
KJ15DKOB,TJPIKQ,0,ELEC,1
KJ15HPGD,NMBUCE,NULL,CORE,NULL
KJ15HPGD,NMCFUH,0,ELEC,3
KJ15HPGD,DSWJGL,0,ELEC,1
KJ15HPGD,DSAAFM,0,ELEC,5
KJ15HPGD,DDCVOF,0,ELEC,2
KJ15HPGD,EIJCRU,0,ELEC,4
KJ15ZFES,NMPQAJ,0,ELEC,7
KJ15ZFES,NMKJIA,0,ELEC,6
KJ15ZFES,PGLSBR,1,ELEC,10
KJ15ZFES,SFQBNI,0,ELEC,3
KJ15ZFES,QQELSA,0,ELEC,2
KJ15ZFES,QQIBYU,0,ELEC,8
KJ15ZFES,DNNSOC,2,ELEC,12
KJ15ZFES,DNSVRR,2,ELEC,1
KJ15ZFES,DNGKDP,2,ELEC,11
KJ15ZFES,TCPHOV,4,ELEC,9
KJ15ZFES,TJPIKQ,4,ELEC,4
KJ15ZFES,TJTDRY,1,ELEC,5
KJ15NOFI,GZNRAM,0,ELEC,4
KJ15NOFI,NMBUCE,NULL,CORE,NULL
KJ15NOFI,NMCTCD,0,ELEC,5
KJ15NOFI,DSWJGL,0,ELEC,8
KJ15NOFI,QQIBYU,0,ELEC,6
KJ15NOFI,DNMIGT,1,ELEC,2
KJ15NOFI,DNDIKQ,1,ELEC,1
KJ15NOFI,DNNSOC,0,ELEC,3
KJ15NOFI,TCAYCF,0,ELEC,7
KJ15ZXPJ,NMZRWR,0,ELEC,2
KJ15ZXPJ,NMGQWM,0,ELEC,1
KJ15ZXPJ,NMUQEU,0,ELEC,5
KJ15ZXPJ,LFRDXJ,0,ELEC,4
KJ15ZXPJ,DNWTSM,0,ELEC,3
KJ15ZXPJ,DNYMGM,NULL,CORE,NULL
KJ15ZXPJ,DNRPKM,0,ELEC,6
KJ15OEPE,NMKJIA,0,ELEC,1
KJ15OEPE,XMAUVI,0,ELEC,2
KJ15OEPE,DNSVRR,1,ELEC,7
KJ15OEPE,DNWTSM,1,ELEC,4
KJ15OEPE,TCPHOV,0,ELEC,5
KJ15OEPE,TJTDRY,0,ELEC,6
KJ15YYLT,NMIDYM,0,ELEC,10
KJ15YYLT,NMUQEU,0,ELEC,11
KJ15YYLT,NMKJIA,0,ELEC,1
KJ15YYLT,DSAFYI,0,ELEC,4
KJ15YYLT,QQELSA,2,ELEC,3
KJ15YYLT,QQAJZJ,2,ELEC,12
KJ15YYLT,QQIBYU,2,ELEC,13
KJ15YYLT,DNDIKQ,0,ELEC,9
KJ15YYLT,DNNRZI,0,ELEC,8
KJ15YYLT,DNXTXO,0,ELEC,5
KJ15YYLT,TJPIKQ,0,ELEC,7
KJ15YYLT,TJGDMF,0,ELEC,6
KJ15YYLT,TJTDRY,0,ELEC,2
KJ15MTXM,NMBUCE,NULL,CORE,NULL
KJ15MTXM,DSAAFM,0,ELEC,5
KJ15MTXM,DSAFYI,0,ELEC,1
KJ15MTXM,QQELSA,0,ELEC,3
KJ15MTXM,TCAYCF,0,ELEC,7
KJ15MTXM,TJPIKQ,0,ELEC,2
KJ15MTXM,TJGDMF,0,ELEC,6
KJ15MTXM,TJYMUE,0,ELEC,4
KJ15YFBZ,GZNRAM,0,ELEC,4
KJ15YFBZ,NMBUCE,NULL,CORE,NULL
KJ15YFBZ,NMIDYM,0,ELEC,3
KJ15YFBZ,NMCFUH,0,ELEC,5
KJ15YFBZ,NMKJIA,0,ELEC,2
KJ15YFBZ,DNMIGT,1,ELEC,1
KJ15YMKL,GZBZIF,0,ELEC,5
KJ15YMKL,XMIUBV,0,ELEC,1
KJ15YMKL,SFQBNI,0,ELEC,4
KJ15YMKL,DNKXCW,0,ELEC,6
KJ15YMKL,TCPHOV,0,ELEC,2
KJ15YMKL,TCPMBP,0,ELEC,3
KJ15EHER,NMPQAJ,0,ELEC,6
KJ15EHER,NMKJIA,0,ELEC,5
KJ15EHER,SFQBNI,0,ELEC,2
KJ15EHER,DNKXCW,0,ELEC,3
KJ15EHER,TCPHOV,0,ELEC,4
KJ15EHER,TJGDMF,0,ELEC,1
KJ15EHER,TJNLID,0,ELEC,7
KJ15JAHX,DSAFYI,0,ELEC,3
KJ15JAHX,SFQBNI,0,ELEC,5
KJ15JAHX,QQELSA,0,ELEC,4
KJ15JAHX,DNNSOC,0,ELEC,2
KJ15JAHX,TCPHOV,0,ELEC,1
KJ15DHYY,NMUQEU,0,ELEC,5
KJ15DHYY,DSAFYI,0,ELEC,1
KJ15DHYY,SFQBNI,0,ELEC,6
KJ15DHYY,QQELSA,0,ELEC,4
KJ15DHYY,DNKXCW,0,ELEC,3
KJ15DHYY,DNXTXO,0,ELEC,7
KJ15DHYY,TCPHOV,0,ELEC,2
KJ15VWLY,NMKJIA,0,ELEC,5
KJ15VWLY,XMAUVI,0,ELEC,1
KJ15VWLY,QQIBYU,0,ELEC,6
KJ15VWLY,DNIMNG,0,ELEC,4
KJ15VWLY,DDHMRB,0,ELEC,3
KJ15VWLY,TJGDMF,1,ELEC,7
KJ15VWLY,TJTDRY,1,ELEC,8
KJ15XWXH,NMBUCE,NULL,CORE,NULL
KJ15XWXH,NMGQWM,0,ELEC,5
KJ15XWXH,NMUQEU,0,ELEC,1
KJ15XWXH,NMKJIA,0,ELEC,4
KJ15XWXH,DNKXCW,0,ELEC,2
KJ15XWXH,TJTDRY,0,ELEC,3
KJ15TWSB,NMBUCE,0,ELEC,11
KJ15TWSB,NMGQWM,0,ELEC,5
KJ15TWSB,NMUQEU,0,ELEC,9
KJ15TWSB,NMKJIA,0,ELEC,1
KJ15TWSB,QQELSA,0,ELEC,6
KJ15TWSB,QQIBYU,0,ELEC,7
KJ15TWSB,DNNSOC,0,ELEC,4
KJ15TWSB,DNNRZI,0,ELEC,3
KJ15TWSB,TCAYCF,0,ELEC,10
KJ15TWSB,DDHMRB,0,ELEC,8
KJ15TWSB,EIXVMK,0,ELEC,2
KJ15PPQI,NMKJIA,0,ELEC,5
KJ15PPQI,XMAUVI,3,ELEC,1
KJ15PPQI,DNNRZI,5,ELEC,6
KJ15PPQI,DNTXOD,5,ELEC,7
KJ15PPQI,TCPHOV,2,ELEC,3
KJ15PPQI,TJTDRY,4,ELEC,4
KJ15TGKJ,GZHQDV,3,ELEC,2
KJ15TGKJ,NMBUCE,NULL,CORE,NULL
KJ15TGKJ,NMSEGH,4,ELEC,4
KJ15TGKJ,PGRAQF,1,ELEC,3
KJ15TGKJ,PGBJRE,2,ELEC,1
KJ15TGKJ,DNJEXJ,5,ELEC,7
KJ15TGKJ,DNWTSM,5,ELEC,8
KJ15TGKJ,DNKXCW,5,ELEC,6
KJ15TGKJ,DDHMRB,0,ELEC,5
KJ15EGLM,NMIFPX,NULL,BACKLOG,NULL
KJ15EGLM,NMMYGU,NULL,BACKLOG,NULL
KJ15EGLM,NMRJCZ,NULL,BACKLOG,NULL
KJ15EGLM,NMUGJK,NULL,BACKLOG,NULL
KJ15EGLM,PGMRBA,NULL,CORE,NULL
KJ15EGLM,DDWJGG,NULL,BACKLOG,NULL
KJ15GJSE,GZSFJX,5,ELEC,15
KJ15GJSE,NMBUCE,NULL,CORE,NULL
KJ15GJSE,NMSEGH,2,ELEC,2
KJ15GJSE,NMKJIA,1,ELEC,1
KJ15GJSE,DNNSOC,4,ELEC,11
KJ15GJSE,DNJEXJ,4,ELEC,5
KJ15GJSE,DNWTSM,4,ELEC,12
KJ15GJSE,DNNRZI,4,ELEC,13
KJ15GJSE,DNKXCW,4,ELEC,8
KJ15GJSE,DNHKAQ,4,ELEC,7
KJ15GJSE,DNIMNG,4,ELEC,10
KJ15GJSE,DNIFQF,4,ELEC,9
KJ15GJSE,DNXTXO,4,ELEC,6
KJ15GJSE,DNOENI,4,ELEC,14
KJ15GJSE,TJGDMF,3,ELEC,3
KJ15GJSE,TJZMSI,3,ELEC,4
KJ15HWWU,NMSRND,NULL,CORE,NULL
KJ15HWWU,DSCODQ,5,ELEC,7
KJ15HWWU,DSAAFM,1,ELEC,2
KJ15HWWU,XMAFNC,0,ELEC,3
KJ15HWWU,XMMLMN,1,ELEC,1
KJ15HWWU,UFBHOZ,5,ELEC,6
KJ15HWWU,SFGHQR,NULL,CORE,NULL
KJ15HWWU,DNSVRR,4,ELEC,4
KJ15HWWU,DNKXCW,4,ELEC,5
KJ15HWWU,TCAYCF,0,ELEC,8
KJ15HWWU,TJTDRY,NULL,CORE,NULL
KJ15WQET,GZFWOW,NULL,BACKLOG,NULL
KJ15WQET,NMIRWN,NULL,BACKLOG,NULL
KJ15WQET,NMSRND,NULL,CORE,NULL
KJ15WQET,NMBUCE,NULL,CORE,NULL
KJ15WQET,NMSEGH,0,ELEC,5
KJ15WQET,NMKJIA,5,ELEC,6
KJ15WQET,QQELSA,1,ELEC,1
KJ15WQET,QQIBYU,0,ELEC,7
KJ15WQET,DNSVRR,4,ELEC,2
KJ15WQET,DNHKAQ,4,ELEC,4
KJ15WQET,DNIFQF,4,ELEC,3
KJ15WQET,DDYQNY,NULL,BACKLOG,NULL
KJ15HYZX,NMBUCE,NULL,CORE,NULL
KJ15HYZX,NMUQEU,0,ELEC,1
KJ15HYZX,NMHBWI,0,ELEC,3
KJ15HYZX,SFKFKY,0,ELEC,2
KJ15HYZX,DNDIKQ,0,ELEC,5
KJ15HYZX,DNNSOC,0,ELEC,6
KJ15HYZX,DNKXCW,0,ELEC,4
KJ15ESNN,NMBUCE,NULL,CORE,NULL
KJ15ESNN,NMKJIA,0,ELEC,2
KJ15ESNN,DNWTSM,0,ELEC,4
KJ15ESNN,TCPHOV,0,ELEC,3
KJ15ESNN,TJTDRY,0,ELEC,1
KJ15CEHG,DSAAFM,1,ELEC,1
KJ15CEHG,DSAFYI,2,ELEC,2
KJ15CEHG,SFGHQR,NULL,CORE,NULL
KJ15CEHG,DNKXCW,4,ELEC,3
KJ15CEHG,TJTDRY,NULL,CORE,NULL
KJ15OOQN,NMBUCE,NULL,CORE,NULL
KJ15OOQN,QQELSA,0,ELEC,6
KJ15OOQN,DNITCO,0,ELEC,2
KJ15OOQN,DNMHEO,0,ELEC,7
KJ15OOQN,DNKXCW,0,ELEC,1
KJ15OOQN,DDHMRB,0,ELEC,5
KJ15OOQN,TJPIKQ,0,ELEC,3
KJ15OOQN,TJGDMF,0,ELEC,4
KJ15XOTM,NMBUCE,NULL,CORE,NULL
KJ15XOTM,NMZRWR,0,ELEC,7
KJ15XOTM,NMLQKI,0,ELEC,9
KJ15XOTM,NMIDYM,0,ELEC,8
KJ15XOTM,DNDIKQ,1,ELEC,2
KJ15XOTM,DNNSOC,1,ELEC,5
KJ15XOTM,DNITCO,1,ELEC,4
KJ15XOTM,DNKXCW,1,ELEC,1
KJ15XOTM,DNUBYC,1,ELEC,3
KJ15XOTM,DDHMRB,0,ELEC,6
KJ16DQOH,NMYLLH,NULL,CORE,NULL
KJ16DQOH,NMSRND,NULL,CORE,NULL
KJ16DQOH,NMSVWI,NULL,CORE,NULL
KJ16DQOH,NMSATV,NULL,CORE,NULL
KJ16DQOH,NMLQKI,2,ELEC,2
KJ16DQOH,DDVQGR,1,ELEC,1
KJ16UPUS,NMQHIH,NULL,CORE,NULL
KJ16UPUS,NMSRND,NULL,CORE,NULL
KJ16UPUS,NMJFNU,NULL,CORE,NULL
KJ16UPUS,NMSATV,NULL,CORE,NULL
KJ16UPUS,DDPNZK,1,ELEC,1
KJ16UPUS,TJPIKQ,2,ELEC,2
KJ16DGAI,NMYLLH,NULL,CORE,NULL
KJ16DGAI,NMSRND,NULL,CORE,NULL
KJ16DGAI,NMSVWI,NULL,CORE,NULL
KJ16DGAI,NMSATV,NULL,CORE,NULL
KJ16DGAI,NMKJIA,1,ELEC,4
KJ16DGAI,DDVQGR,2,ELEC,3
KJ16DGAI,DDHMRB,2,ELEC,2
KJ16DGAI,TJPIKQ,1,ELEC,1
KJ16JRMA,NMQHIH,NULL,CORE,NULL
KJ16JRMA,NMSRND,NULL,CORE,NULL
KJ16JRMA,NMJFNU,NULL,CORE,NULL
KJ16JRMA,NMSATV,NULL,CORE,NULL
KJ16JRMA,NMSEGH,0,ELEC,1
KJ16JRMA,DDVQGR,0,ELEC,2
KJ16OEWJ,NMYLLH,NULL,CORE,NULL
KJ16OEWJ,NMSRND,NULL,CORE,NULL
KJ16OEWJ,NMSVWI,NULL,CORE,NULL
KJ16OEWJ,NMSATV,NULL,CORE,NULL
KJ16OEWJ,NMUQEU,0,ELEC,3
KJ16OEWJ,DDVQGR,1,ELEC,2
KJ16OEWJ,DDHMRB,1,ELEC,1
KJ16OEMM,NMQHIH,NULL,CORE,NULL
KJ16OEMM,NMSRND,NULL,CORE,NULL
KJ16OEMM,NMJFNU,NULL,CORE,NULL
KJ16OEMM,NMSATV,NULL,CORE,NULL
KJ16OEMM,NMLQKI,4,ELEC,3
KJ16OEMM,DDVQGR,1,ELEC,2
KJ16OEMM,DDHMRB,1,ELEC,1
KJ16UYMS,NMYLLH,NULL,CORE,NULL
KJ16UYMS,NMSRND,NULL,CORE,NULL
KJ16UYMS,NMSVWI,NULL,CORE,NULL
KJ16UYMS,NMSATV,NULL,CORE,NULL
KJ16UYMS,NMWUNK,1,ELEC,1
KJ16UYMS,DDVQGR,4,ELEC,2
KJ16UYMS,EIQRRT,NULL,BACKLOG,NULL
KJ16YKEK,NMQHIH,NULL,CORE,NULL
KJ16YKEK,NMSRND,NULL,CORE,NULL
KJ16YKEK,NMJFNU,NULL,CORE,NULL
KJ16YKEK,NMSATV,NULL,CORE,NULL
KJ16YKEK,DDVQGR,4,ELEC,2
KJ16YKEK,EIDIZF,1,ELEC,1
KJ16GRIC,GZSXZC,2,ELEC,2
KJ16GRIC,NMYLLH,NULL,CORE,NULL
KJ16GRIC,NMSRND,NULL,CORE,NULL
KJ16GRIC,NMSVWI,NULL,CORE,NULL
KJ16GRIC,NMSATV,NULL,CORE,NULL
KJ16GRIC,DDVQGR,1,ELEC,1
KJ16EXRI,NMQHIH,NULL,CORE,NULL
KJ16EXRI,NMSRND,NULL,CORE,NULL
KJ16EXRI,NMJFNU,NULL,CORE,NULL
KJ16EXRI,NMSATV,NULL,CORE,NULL
KJ16EXRI,NMLQKI,2,ELEC,1
KJ16EXRI,DDVQGR,1,ELEC,2
KJ16WRWL,NMYLLH,NULL,CORE,NULL
KJ16WRWL,NMSRND,NULL,CORE,NULL
KJ16WRWL,NMSVWI,NULL,CORE,NULL
KJ16WRWL,NMSATV,NULL,CORE,NULL
KJ16WRWL,NMUQEU,0,ELEC,2
KJ16WRWL,DDKVSX,0,ELEC,1
KJ16UTQJ,NMQHIH,NULL,CORE,NULL
KJ16UTQJ,NMSRND,NULL,CORE,NULL
KJ16UTQJ,NMJFNU,NULL,CORE,NULL
KJ16UTQJ,NMSATV,NULL,CORE,NULL
KJ16UTQJ,DDYQNY,NULL,BACKLOG,NULL
KJ16UTQJ,DDVQGR,4,ELEC,2
KJ16UTQJ,DDHMRB,4,ELEC,1
KJ16UTQJ,TJPIKQ,2,ELEC,3
KJ16BLSO,NMYLLH,NULL,CORE,NULL
KJ16BLSO,NMSRND,NULL,CORE,NULL
KJ16BLSO,NMSVWI,NULL,CORE,NULL
KJ16BLSO,NMSATV,NULL,CORE,NULL
KJ16BLSO,NMUQEU,0,ELEC,2
KJ16BLSO,DDKVSX,0,ELEC,1
KJ16VMIC,NMIFPX,NULL,CORE,NULL
KJ16VMIC,NMQHIH,NULL,CORE,NULL
KJ16VMIC,NMSRND,NULL,CORE,NULL
KJ16VMIC,NMSATV,NULL,CORE,NULL
KJ16VMIC,DDHMRB,0,ELEC,1
KJ16VMIC,EIQRRT,NULL,BACKLOG,NULL
KJ16SNPK,NMYLLH,NULL,CORE,NULL
KJ16SNPK,NMSRND,NULL,CORE,NULL
KJ16SNPK,NMSVWI,NULL,CORE,NULL
KJ16SNPK,NMSATV,NULL,CORE,NULL
KJ16SNPK,TCPHOV,2,ELEC,4
KJ16SNPK,DDVQGR,4,ELEC,2
KJ16SNPK,DDHMRB,4,ELEC,1
KJ16SNPK,TJPIKQ,2,ELEC,3
KJ16XHQX,NMQHIH,NULL,CORE,NULL
