Batch,MandatedElectiveTypes
KJ15,DN
DS15,DN
LF15,DN
XM15,DN
SF15,DN
FO15,DN
OZ15,DN
VL15,DN
BJ15,DN
UF15,DN
KJ16,DD
LT16,DN
OZ16,DN
KJ17,DN
DS17,DN,DD
LF17,DD
XM17,DN
SF17,DN
LT17,DN
SC17,DN,DD
OZ17,DN,DD
VL17,DN,DD
BJ17,DN
EI17,DN,DD
